Source,Target,Type,Id,Weight
brussinf,new_totalis,Directed,6208,1
blackcolonel2020,new_totalis,Directed,6247,2
nbstaroverov,new_totalis,Directed,6258,12
epoddubny,new_totalis,Directed,6274,4
RVvoenkor,new_totalis,Directed,6303,2
Sladkov_plus,new_totalis,Directed,6342,1
ghost_of_novorossia,new_totalis,Directed,6401,4
dr_kuban,new_totalis,Directed,6454,19
KRPRus,new_totalis,Directed,6457,10
pgubarev,new_totalis,Directed,6463,3
rusfleet,new_totalis,Directed,6466,3
nazbol_sar,new_totalis,Directed,6480,9
KRPrus52,new_totalis,Directed,6482,1
i_strelkov_2023,new_totalis,Directed,6507,7
zverochan,new_totalis,Directed,6521,8
drugoros_vrn,new_totalis,Directed,6531,9
soldat_prav,new_totalis,Directed,6536,2
fabric80,new_totalis,Directed,6551,2
Sladkov_plus,voenkorKotenok,Directed,6607,124
chernaya100kitchen,new_totalis,Directed,6623,1
